A8072416801	flight	2018-07-24	685.00	182.66	web	Chrome Mobile	58
A8072416544	flight	2018-07-24	1832.10	498.84	web	Chrome	58
A8072416799	flight	2018-07-24	3233.61	880.44	mobile	MobileApp	58
A8072416474	flight	2018-07-24	803.40	218.75	web	Chrome	58
H80724171250	hotel	2018-07-24	1250.90	N/A	web	Chrome	58
H80723375152	hotel	2018-07-23	1752.12	N/A	mobile	MobileApp	58
A80724166250	flight	2018-07-24	6007.73	1602.02	web	Firefox	58
H80724171452	hotel	2018-07-24	2229.07	N/A	mobile	MobileApp	58
H80724171752	hotel	2018-07-24	122.87	N/A	mobile	MobileApp	58
H80724171913	hotel	2018-07-24	147.94	N/A	mobile	MobileApp	58
A80724171552	flight	2018-07-24	261.73	69.79	mobile	MobileApp	58
H80724171652	hotel	2018-07-24	241.40	N/A	mobile	MobileApp	58
H80724128252	hotel	2018-07-24	1669.84	N/A	mobile	MobileApp	94
H80704282852	hotel	2018-07-04	2677.63	N/A	mobile	MobileApp	58
H80724172152	hotel	2018-07-24	2243.12	N/A	mobile	MobileApp	58
H80724171852	hotel	2018-07-24	1842.70	N/A	mobile	MobileApp	58
A8072330184	flight	2018-07-23	1385.70	377.32	web	Opera	53
H80724172250	hotel	2018-07-24	206.52	N/A	web	Chrome Mobile	58
H80724169752	hotel	2018-07-24	3155.17	N/A	mobile	MobileApp	58
A8072416374	flight	2018-07-24	238.54	64.95	web	Mobile Safari	58
H80724172752	hotel	2018-07-24	2043.97	N/A	mobile	MobileApp	58
A80723422752	flight	2018-07-23	3565.29	950.72	mobile	MobileApp	58
H8072417304	hotel	2018-07-24	2099.30	N/A	web	Chrome	58
H80724171352	hotel	2018-07-24	11842.89	N/A	mobile	MobileApp	58
A8072416714	flight	2018-07-24	548.70	149.40	web	Chrome	58
H80724173152	hotel	2018-07-24	489.05	N/A	mobile	MobileApp	58
A8072417082	flight	2018-07-24	394.80	105.28	mobile	MobileApp	58
A8072417034	flight	2018-07-24	2482.03	675.80	web	Chrome	58
H80724173350	hotel	2018-07-24	203.16	N/A	web	Chrome Mobile	58
A80724172452	flight	2018-07-24	1396.00	372.26	mobile	MobileApp	58
H80428159857	hotel	2018-04-28	190.68	N/A	mobile	MobileApp	94
A8072416344	flight	2018-07-24	3226.50	878.51	web	Chrome	58
H80724172952	hotel	2018-07-24	3231.29	N/A	mobile	MobileApp	58
